"id","name_zh","name_en","election_type","person_id","matched","year","cacode","constituency_id","age","political_affiliation","camp","candidate_number","occupation","nominated_at","nominate_status","votes","vote_percentage","is_won"
4448,"張朝敦","","ordinary",2736,,2019,"B08",,,"獨立候選人","民主",,"學者","2019-10-09","nominated",0,0,false
4449,"楊子雋","","ordinary",2737,,2019,"B09",,,"獨立候選人","民主",,"社區規劃師","2019-10-09","nominated",0,0,false
4450,"陳詠霞","","ordinary",2470,,2019,"B10",,,"2047香港監察","民主",," ","2019-10-04","nominated",0,0,false
4451,"吳澤森","","ordinary",2471,,2019,"B10",,," ","建制",,"行政董事","2019-10-08","nominated",0,0,false
4452,"張嘉莉","","ordinary",2738,,2019,"B10",,," ","民主",,"藝術策劃人","2019-10-09","nominated",0,0,false
4453,"黃宏泰","","ordinary",2375,,2019,"B11",,,"獨立","建制",,"會計師","2019-10-08","nominated",0,0,false
4454,"周錦基","","ordinary",2739,,2019,"B11",,,"獨立候選人","民主",,"社交媒體公司創辦人","2019-10-09","nominated",0,0,false
4455,"李碧儀","","ordinary",920,,2019,"B12",,,"獨立","建制",,"區議員","2019-10-05","nominated",0,0,false
4456,"陳錦成","","ordinary",2740,,2019,"B12",,,"獨立候選人","民主",,"藝術工作者、平面設計師","2019-10-09","nominated",0,0,false
4457,"李均頤","","ordinary",2288,,2019,"B13",,,"民建聯","建制",,"全職區議員","2019-10-04","nominated",0,0,false
4458,"梁柏堅","","ordinary",1651,,2019,"B13",,," ","民主",,"特約記者及專業攝影師","2019-10-08","nominated",0,0,false
4459,"郭浩景","","ordinary",2741,,2019,"C02",,,"新民黨","建制",,"金融計量分析師","2019-10-09","nominated",0,0,false
4460,"張文嵩","","ordinary",2472,,2019,"C03",,," ","建制",,"社區主任、議員助理","2019-10-04","nominated",0,0,false
4461,"林梓鴻","","ordinary",2742,,2019,"C04",,,"新民黨","建制",,"市場推廣董事（資訊科技）","2019-10-09","nominated",0,0,false
4462,"郭詠健","","ordinary",2473,,2019,"C05",,,"民主建港協進聯盟","建制",,"旅遊從業員","2019-10-08","nominated",0,0,false
4463,"梁詠詩","","ordinary",2063,,2019,"C06",,," ","民主",,"中學教師","2019-10-04","nominated",0,0,false
4464,"林心亷","","ordinary",938,,2019,"C06",,,"民主建港協進聯盟","建制",,"旅遊從業員","2019-10-08","nominated",0,0,false
