"id","name_en","name_zh","estimated_yob","gender","related_organization","uuid","fc_uuid"
"2469","","廖添誠","","MALE","獨立候選人","572e2ae6-593c-48fc-a829-4aae424a558b","32c48a0e-0448-415e-84f4-8b4be8ce9074"
"2470","","陳詠霞","","FEMALE","2047香港監察","b3007e8d-a25b-415e-80e9-fdf0d177c07b","431d292f-4e19-4857-bb76-5585df08a3fd"
"2471","","吳澤森","","MALE"," ","1fb4a9d7-ca91-48e1-a784-72a6da082672","ca005a07-13bc-4ed7-98ac-17c77bac072a"
"2472","","張文嵩","","MALE"," ","60564081-3681-416c-a2a9-7b000d6c49f0","d1178cd1-b47b-4722-8bd2-991cc0a9681f"
"2473","","郭詠健","","MALE","民主建港協進聯盟","a2d62c80-3045-4f86-b287-8c1d688f3baf","7fa80e60-27c3-447a-af7c-56f0566e8326"
"2474","","劉淑燕","","FEMALE","民主建港協進聯盟、香港工會聯合會","b24a3e47-3fa5-4ce1-b098-36f0194ee2aa","8a0b6d35-695a-4418-9edb-42775ee93cd5"
"2475","","陳儀真","","FEMALE"," ","f1b30a12-45c9-4479-a3a5-20e6b89ad2dc","cd425a90-2fb4-4ef0-abcf-b91fa007f104"
"2476","","陳凱榮","","MALE","民主建港協進聯盟、香港工會聯合會","b1f9ab87-e311-4108-83c1-e19cdfdfb642","345c8f3f-0093-4c40-b897-2bdf50700a5a"
"2477","","賴翊銘","","MALE"," ","b7fe59e3-6435-4071-9cad-b784744256af","e8b992ca-1d50-4761-9560-9e7f3882f96a"
"2478","","陳嘉佑","","MALE"," ","df481b8d-2553-49d5-9b3f-4f1d13d7dfa6","48f893f4-8398-4706-a6a3-ec1d8b6a1acf"
"2479","","樊熙泰","","MALE"," ","ad33ef68-e2d5-4274-bc16-268950b298a0","33d0b1c3-e9cc-415b-b45d-12873ab09f4c"
"2480","","魏志豪","","MALE","公民黨","b0c1fbeb-ad43-464a-8ef8-86034528816c","a705da4f-af7a-4dd7-8f26-4b5ab3d3ede5"
"2481","","張振傑","","MALE","興東東熹環境關注組","957274ab-20e7-400f-9f0f-ade5138c378a","2a39a7dc-eda6-4cb8-8ac1-90ee672a5583"
"2482","","吳清清","","FEMALE","香港工會聯合會","a79c4dc0-e068-4fad-abb1-cd0befc2d9b0","a13315bd-bc36-4f5e-a47d-a659bbdc9cba"
"2483","","蔡翠雲","","FEMALE","獨立","ef62b2be-2546-447e-8378-3e27d584e093","ace7f709-56b8-458c-b3f0-ae0f7126350c"
"2484","","劉堅","","FEMALE","民主建港協進聯盟、香港工會聯合會","4c81f64e-9dad-4696-973d-e2c3d36f1d9a","9ba03808-88a7-4a54-b506-27efb34971d3"
"2485","","黃銳熺","","MALE","民主派","9638d57d-53e9-406a-98a9-6e3be35e0f08","c7490e4d-7922-4ed1-9758-44caa6ec3d66"
"2486","","陳堡明","","MALE","民主黨","f9968f80-2946-4ede-a902-57147dca4f2c","5cb44be4-bd1a-49f5-baf5-6526fb68ef1b"
"2487","","陳炳洋","","MALE","民主黨","db428ca3-760a-4454-8ae9-fa30117d6cba","19598ec4-2a04-4e56-8336-cd1570d17c63"
"2488","","陳欣兒","","FEMALE","民主黨","6aae9fa0-201b-48bb-9e85-857c169d337d","09d24a80-375a-4e2c-b58c-5ee1e873d769"
"2489","","吳啓新","","MALE","民建聯","d8e9da58-96d5-4551-9d23-845cfd5b41ff","c9218460-005f-4ad7-9587-7a2f2b98a8b2"
"2490","","譚晉杰","","MALE","民建聯","dd5ad8bf-e598-4753-ac0b-33b206de0c76","18183ece-ac0f-47e8-803d-7e74805bad52"
"2491","","俞竣晞","","MALE","公民黨","af01f649-33dd-47e6-a6d2-1c2d995bc642","616bf6e4-2b4c-47a2-b64a-d65d6a6bba66"
"2492","","黃之鋒","","MALE","民主派","cc3c1aa2-3a62-410a-8fa3-405781fabba3","656db8fc-b0cd-4179-bc6e-6fad2d525fb1"
"2493","","潘秉康","","MALE","民主黨","f0281c04-4f92-4632-a679-ee090f6df9b0","dba4b3f3-0d63-42df-be35-e7d8a28bca23"
"2494","","嚴駿豪","","MALE","民主黨","6b411720-1d35-40a4-b1c1-e21ae1f6d7c3","91a02fa1-787f-4eb3-9ae4-b3587ad62c26"
"2495","","張偉楠","","MALE","民建聯","6408ea13-b313-4b37-9489-d10869454dcb","1a686d19-ba6c-42c7-b8ea-7ab80c56bce6"
"2496","","蕭煒忠","","MALE","民建聯","77480c55-2679-40fa-85f7-3e49c46691a2","9e92579b-541e-48f0-8095-6b4a824db339"
"2497","","林德和","","MALE","*民主派","b76f1dfd-f634-484f-a71b-25e1a7593ca8","5c8afffd-eac2-4d69-baf7-757186e05bdc"
"2498","","袁嘉蔚","","FEMALE","民主派","e1db1cb3-5029-464f-83c4-3feb9753c4f5","72467dd9-466d-436b-9061-6f16ca2badc1"
"2499","","陳衍冲","","MALE","獨立民主派","55717124-ff45-4636-ae73-a98f74c8ab70","e40961a6-d51f-4165-83a0-60fe0c1474e6"
"2500","","丁偉良","","MALE","沒有政治聯繫","b19462f7-fa34-416d-877a-7bd5e30e7ccf","1dc4b8f3-7052-41ae-8d97-7f70a125d81c"
"2501","","梁進","","MALE","自由黨","cc1bb35e-6ff1-4ed6-9d91-82f670ca26f2","c5df424f-46a2-4135-b8cb-842064da3a0f"
"2502","","陳順意","","MALE","無黨派候選人","284038c9-2be7-492b-bd6b-555b3edc504e","811e3a24-29e8-42cd-afee-82cde55a5eb7"
"2503","","梁幸輝","","MALE","獨立候選人","12f8520d-9637-4298-97a9-32c0b12cd16c","4c0f6351-4b45-42d2-9cc9-d8383bcbf0b1"
"2504","","李穎妍","","FEMALE","民主黨","9e24103c-ce33-432b-b99b-9f2416ad65cc","e66b34b4-a9ff-42f1-b0d1-727c300bf13e"
"2505","","胡穗珊","","FEMALE","社區前進","1ad22b83-0e82-4f85-8652-7cc47da6d4ae","e57e0ada-6aaf-44c6-ad24-f3050cb1471d"
"2506","","伍僥敏","","FEMALE","公民黨","0655bd72-378f-4475-9db8-1e0ae883029c","a0e6b411-f907-46d0-84cc-4e354c25ff7c"
"2507","","曾自鳴","","MALE","民主黨","59e2d41b-4f28-4cb8-82d4-8885beb06472","4d5827b5-19db-4071-bf19-8a41ae6aefa5"
"2508","","李傲然","","MALE"," ","f5d703b6-b7c2-4810-b9d5-0318e0a04e58","73aaa707-a728-4552-a22d-9ed79a8f443d"
"2509","","林兆彬","","MALE","社區前進","22e7ba39-8108-4196-984b-b4f1a740fd33","eefbd804-72a5-44a4-9e5f-1abef2ac1104"
"2510","","朱江瑋","","MALE","社區前進","555a32c9-50e7-4e88-ba61-174cf592c8ab","b32f97aa-326c-4daf-8a85-0979387030ac"
"2511","","李文傑","","MALE"," ","b78e14d4-3e0e-4e80-a7ac-841689f8a3a2","489d3eb3-fb81-4ef0-8a30-34b32ecb8172"
"2512","","朱子洛","","MALE","民主黨","4e5b5e8c-e74e-4832-b486-a59da11871c0","0b034705-b4d1-4e84-871f-442f75c9b7f9"
"2513","","何富榮","","MALE","獨立","614c34b3-c158-40d1-9873-58ff09b145e3","43a0329f-a9d3-44cb-ae63-e6ab0d05dea1"
"2514","","賀卓軒","","MALE","社區前進","f5295612-20bf-4f16-8545-f43f6add94f0","3ca1230d-cb64-4326-bc47-cd262c02ffc6"
"2515","","譚振宇","","MALE","香港經濟民生聯盟","398b38bc-19a6-4d9d-85e2-2c675f6685e5","95cbe250-3d72-43b1-9567-09a959eb228b"
"2516","","冼錦豪","","MALE"," ","7a6c4466-4f38-4e7f-84e1-cd231dac4994","95b05360-6ccd-429e-ae0b-e3312a8e9560"
"2517","","林倩同","","FEMALE"," ","50714654-17f0-4757-a310-906042018963","94406187-62d6-4f6b-83db-6150409d041c"
"2518","","徐溢軒","","MALE","香港民主民生協進會","8c877a20-d4cb-47e5-a83e-9ce6ca93603d","698d3f5e-fc53-48b9-ad77-77ea27e0c235"
"2519","","周琬雯","","FEMALE","公民黨","63f0c7ac-7f7a-4e73-945c-01e216dea380","a9925f43-7976-4bb4-97b5-9af663b0be12"
"2520","","利瀚庭","","MALE","民協","446cdf4a-68c3-45fa-86f7-7971acfb899a","2f6d99e7-9687-44b8-9c83-c207732e2f98"
"2521","","陳銘基","","MALE","民協","cd6b0bfc-d67d-45a4-80ce-8045ae8cff9d","00f33d42-3af7-4a73-9a23-8cd786d0e0cc"
"2522","","陳麗紅","","FEMALE"," ","50aa2d5d-4072-44b1-bd84-273ba072fefb","6c4b11aa-c3a4-46cf-b13c-62cfc1c5bb83"
"2523","","鄧巧彤","","FEMALE","工聯會","a2a57c3f-ea90-4716-b1c2-1a838f7c41a6","bc585a3d-471e-4cd2-aa17-63add2257ad1"
"2524","","林正軒","","MALE","民主派區選聯盟","c17545b3-1abe-4558-811c-66b84875ee45","9b470d0b-a3c7-44ad-9da7-e1d519552d13"
"2525","","黃文港","","MALE"," ","5d40c3b2-c7c1-4838-9f45-77880adb6138","cf2806e2-240c-4626-be83-ad98e12d1aeb"
"2526","","温仲然","","MALE","公民黨","f0874fe7-b400-4d46-8a5d-a714f19882e4","b37d49e9-eafb-4810-ab50-de85ca0ce9eb"
"2527","","馮達浚","","MALE"," ","2c027013-2ca2-47dc-b323-31cc5c95891d","7d8bd729-50ab-4d9b-b4af-4417fabe2cc6"
"2528","","曾俊達","","MALE"," ","95b4287c-8c24-4d8e-859a-7d5cef7ae99d","3361d9a7-e155-40cc-b9f4-c6a5cf8edddb"
"2529","","張景勛","","MALE"," ","2fccc8cb-9c53-4b5b-88a6-f2544272ccf8","4dae0ce0-2746-48f4-8dbb-d27979f21aca"
"2530","","梁咏欣","","FEMALE","公民黨","2a057ed9-5e4f-462b-b94e-1ffb9a3926e5","ebe63715-8e26-4dcf-ada0-9b0ce22b4dd1"
"2531","","童繼民","","MALE"," ","456f9ebc-71a8-4b5b-acc3-09cd041fad0e","4ed98daf-8d20-4f7c-b065-5985436cce1a"
"2532","","李軒朗","","MALE","九龍角落、民主派區選聯盟","e528704e-c43c-4e04-b21b-10caef4cc8b6","037091b0-dbe8-49ad-8b0b-3d2dcf457df2"
"2533","","郭天立","","MALE","民主黨、民主動力","22b27132-263e-47e3-a8ec-f7b34a29cb04","39ec28ec-4b2d-47ea-84fe-a5aa943a77bb"
"2534","","關家倫","","MALE"," ","addb0a9b-92f2-4f89-b4ab-14bb73576fab","289ca14c-66a5-4885-b168-e990249fb1dd"
"2535","","關兆倫","","MALE"," ","3d328df3-f26a-40fe-ab4f-62789eb6df36","e8fa3814-4b29-41ad-8837-24a572b6fc0a"
"2536","","周熙雯","","FEMALE","民主黨","1ba08e57-f5ab-495a-b372-52b4c0790f5b","0d95ae84-9181-48b4-8e14-682af00fdbb9"
"2537","","麥瑞淇","","FEMALE","民主黨","ae02b216-4b13-4fa1-b297-f9668c24d525","ad2ba7a4-8039-4ce5-82dd-8a874c76fe88"
"2538","","陳俊裕","","MALE","獨立","92a658fe-1478-4866-a06f-e310e07cfaa2","d9b40db8-0958-48d6-bb14-39e245971c4d"
"2539","","鄧惠强","","MALE","民主黨","0fc1246c-4858-4a17-8d9b-ace6f035a1b2","7f597b19-dfad-4181-8843-f9184a838eae"
"2540","","越毅強","","MALE","民建聯","838da4c8-553a-40e9-af95-b9f0d7a813b4","fd814251-a61b-4956-8ce6-2d3f0825ef40"
"2541","","張嘉宜","","FEMALE","慈雲山建設力量","449a6b56-3721-4e09-a11d-5ff331649d58","17050939-f454-4055-9de5-7579f784d7c9"
"2542","","陳啟淳","","MALE"," ","52474f23-73da-4189-a0cf-892ee811d6d8","f5b2ec59-7134-4d68-8117-658e086a8d64"
"2543","","楊光富","","MALE","民建聯","48fc7324-695b-4004-99bc-49cf2f041072","55cecd6f-f694-48b6-87b1-b94b257a77d9"
"2544","","梁銘康","","MALE","獨立","a550d108-4786-4e4c-813f-40ef46465452","85630245-996e-429e-9dca-da3d7d31308d"
"2545","","劉珈汶","","FEMALE","公民黨","eec1f265-92a3-434e-9e96-56f5c39c6bdf","c3898956-e4f8-4fae-951d-da7e9ec2cdd9"
"2546","","鄭文杰","","MALE","公民黨","e79ed977-44cd-4aa1-a2f1-81c89bf96fdb","99359c35-e9e5-4b49-8d7c-de397099ebd2"
"2547","","尤漢邦","","MALE"," ","8fcc41db-ccf2-4b01-b954-fc76fa42cd0c","562227c3-7eab-4c5c-9003-0e667e3e6a9e"
"2548","","李健聰","","MALE","工聯會","16b479bb-b348-42d0-a9e7-c0ed23b69c70","e666bb19-bf00-4cc7-a58a-96c0cc1d02b3"
"2549","","鄭梓健","","MALE"," ","f788e521-a039-4d7d-b4a4-93d5f2e3957b","134015ca-7dbb-4e42-9073-1001918977ee"
"2550","","張茂清","","MALE","民主黨","5ad8c4ed-94ee-43f4-b2f7-bf5b16646674","bd6c7356-f8bc-4362-8787-68214b110e17"
"2551","","潘卓斌","","MALE","民建聯","4037b2de-add1-45ee-8f48-39e1339de902","773c9367-2577-49b3-b387-2cecab5cae80"
"2552","","岑宇軒","","MALE","慈雲山建設力量","b9028333-3a56-436c-a5d5-3a2a4e762d1f","c06894ad-0a87-4de9-9197-0159d43be434"
"2553","","莫綺霞","","FEMALE"," ","e6854b40-6d6a-43c2-a619-6fbb0d077a7a","44a0f7fa-3c24-4033-8519-39a4946a8f93"
"2554","","江景新","","MALE","民建聯","f3964047-b8e9-4ec3-bd5f-98cb4a7d9868","b4400537-985e-4628-975d-02b17ebeb12a"
"2555","","蘇嘉樂","","MALE","工聯會","7d2668a5-72ac-4012-a8ec-e02134468a3e","52647871-7ba8-4de4-9b9b-6d5f8b9a3096"
"2556","","莫灝哲","","MALE","彩虹邨服務聯會","68c52df4-308b-4f94-9556-53b0a94c51a8","c8199ed5-03ee-4d88-858b-6a5d73f0cc24"
"2557","","梁翊婷","","FEMALE","民主黨","5e975b80-ae1b-4de5-9b75-5b1e3bf12d9d","d93c959e-b8bb-48ab-83a4-02d19247ff60"
"2558","","尹家謙","","MALE","民主黨","3b2442af-912a-495b-8374-c1356649687f","26b72b47-e2d4-4ad1-81ae-7f022e3265d7"
"2559","","黎寶桂","","FEMALE","民主黨","f5ecc2f5-0b95-4b08-a0ff-5b08ca2b0da3","38f4ce02-9eff-493c-8824-20759c583353"
"2560","","林冠存","","MALE","民主黨","9de9dc6e-e1fe-44fe-9828-aa8a28f69e05","d821bd00-29d4-4224-aa9a-944b82ffda24"
"2561","","鄧威文","","MALE"," ","21137393-1d23-4acb-aeb3-a23377b3632d","94a85137-4089-409b-8cbb-862a0185d639"
"2562","","蘇偉洋","","MALE"," ","719f3501-9fac-4899-9367-e15c2c1b5497","d164dfe9-0269-4be6-a8c8-ec33f0e25d57"
"2563","","李梓成","","MALE"," ","cbb032bf-9a1d-4242-a572-a507694e5c51","0077020b-a0ad-49bd-8424-d0c5d4ad24dd"
"2564","","馮家龍","","MALE"," ","af811299-a257-4a7c-8264-01456b3aa694","555b438a-87e9-402c-a141-206c28849635"
"2565","","葉梓傑","","MALE","民主黨","102dc1ee-4eee-4d85-9568-03b6c2f5e801","e97837f5-2b05-4adf-b0fa-48804efbc7a1"
"2566","","陳易舜","","MALE","獨立民主派","b7f758e9-2e22-4dcb-a812-e94c9f026c7a","927cf80e-6f2a-4621-b4b7-82b8f85f1ac7"
"2567","","龔振祺","","MALE"," ","c47a97ae-2e5c-4b0f-940a-cbf38a7d0350","3c5eb752-62e7-4da4-8fa4-75f522bbfe39"
"2568","","龐智笙","","MALE","公屋聯會","c427ea9c-e9b3-4296-b326-6363c1fe127f","ce617558-d6ab-488a-9b2e-290b888d9914"
"2569","","鍾淬坤","","MALE"," ","8f13aba6-4903-4830-b58c-43d28b1bfd42","00c0b174-2fd0-46e2-b0b8-959fc1d0636d"
"2570","","王偉麟","","MALE"," ","b9172158-bdcc-4760-95bf-02650b11e4be","5e4f5704-6a27-43e8-8375-662ad5a3f9dd"
"2571","","黃邵南","","MALE"," ","a131e7ef-3fb7-4983-86e3-27d2ccbb8876","5599aaf7-246b-49cc-922d-74584708af78"
"2572","","李煒林","","MALE"," ","14fe3b8b-6578-4603-94eb-56ae86e1399b","9d799175-916d-4111-a559-d308fae449f6"
"2573","","呂奭群","","MALE"," ","26ecf758-38aa-4e4e-ac94-ed937f437143","64e7d591-dcf4-41ba-aa14-c98cb502d312"
"2574","","洪駿軒","","MALE","民主黨","d17860d3-6390-4906-924f-d437215b1cd1","e4acc6d5-5bbe-4350-b6fa-3dfb4390c77c"
"2575","","張敏峯","","MALE"," ","6412a91e-a486-4c11-b6a9-8b2c734a1098","44023939-73f0-4d9b-8139-d328f2997983"
"2576","","梁凱晴","","FEMALE"," ","a15068de-3613-467e-b147-0aa290b42152","cf30673b-fc2d-4211-b0cd-7654948d3e48"
"2577","","李嘉達","","MALE","民主動力","e2fe587d-9bf5-41e5-b666-a36d7e6ae9b6","91a5f1bc-aa2e-4777-85d9-a0d082228f84"
"2578","","陳嘉言","","MALE"," ","265cbec9-da89-4478-98a7-618e0e103eef","d5c36253-6f54-4867-81bd-760376d982e1"
"2579","","鄭駿樺","","MALE"," ","9c57a90d-3f38-4439-9632-bd40f5431f0d","1504bdda-e591-467f-ae89-bfbdfa657f3d"
"2580","","李詠珊","","FEMALE"," ","ef29f4bc-6e1f-4daa-9c3c-a653c0930a5b","9976b043-44fa-45f1-b4eb-2a36894e2b33"
"2581","","李軍澤","","MALE","公民黨","316aa4fe-29d9-4894-9ee3-25d77ac976c4","0248179f-c3cf-4be6-b47b-89451035d211"
"2582","","伍俊瑜","","MALE","民建聯","ea91c5d1-2dcb-4128-9665-005cbbba4fe4","656306ae-3b40-43ef-a20f-5a31c62e8be2"
"2583","","陳杰","","MALE","民建聯","e12b9c9e-7787-443f-9e86-7a8c5d0de3c2","77668fec-6494-4da6-af88-cf8684621e0c"
"2584","","莫遠君","","MALE","獨立候選人","9a563ddc-03b6-49f6-83e6-87c549eb88d8","a2d65a11-d533-40aa-abbc-56fadfe50a61"
"2585","","岑敖暉","","MALE","朱凱迪新西團隊、民主動力","c426fbfb-58df-4535-925e-ab201dde718d","0fb1d7ed-6599-4d7c-9bbb-5856f1344296"
"2586","","潘朗聰","","MALE","新民主同盟","35a16716-5051-4a38-8359-ca40ce6a6ed9","eda1065d-147d-476d-ac5d-8592d05e417c"
"2587","","馮卓森","","MALE","公屋聯會","c3b34747-3ad2-4ca8-bb12-1a82664ea774","d6a72727-22e5-44f9-94cf-55ac776bb98f"
"2588","","林顯輝","","MALE","民建聯","7806d7cb-3f04-42da-ad67-977edf70c19a","b9f009c3-2686-4577-a648-bfd0188e592c"
"2589","","黎駿穎","","MALE","民主黨","ef65be03-9f20-4cd4-90d9-2c28d0864806","f2001fcf-cbc2-4454-8517-ccd57793c12f"
"2590","","甄霈霖","","MALE","民主動力、朱凱廸新西團隊","c1350e9c-fbd2-4b0a-97ec-3b398ea0e33a","e9d46c53-0d1a-4102-8dfa-046748828278"
"2591","","林健翔","","MALE","工黨","97c68dcf-d2f2-4497-a272-1e2c43699528","7ee67e9c-8d0c-4e01-afa1-89b7c1176463"
"2592","","葉俊遠","","MALE","民建聯","ccc5979f-f9a2-45b3-a66e-d5151ea1f998","c0baa271-8e44-4f6d-86d7-3bdc90c50133"
"2593","","林明恩","","MALE","工黨","7b4e0c86-f07e-4a4b-866f-182fdec85994","e9b9eef0-7851-4ecc-851c-8dfc9bdaae81"
"2594","","潘智鍵","","MALE","屯門社區網絡","ae575cb3-68b5-44ce-9e0e-b9ab2be51568","cbbd8bb0-b476-42e4-b1cc-36c1c95461c0"
"2595","","黃丹晴","","MALE","屯門社區網絡","9ee8f4ac-5747-47a1-894e-4dff251a426a","185b9e25-1804-4e35-92e6-af075990d512"
"2596","","羅焯勇","","MALE","屯門社區網絡","49dc1ccc-c013-473a-b400-b3a2f641f072","77499a6e-d488-428c-925b-8478b909deb1"
"2597","","張可森","","MALE","屯結新墟","dda00b47-183b-460d-b99a-f56b835f0ca6","9578449d-27c1-44b1-9e66-cb10bb50ea00"
"2598","","巫堃泰","","MALE","獨立","78a8d415-87d5-4457-b27c-097c5601cb0b","570eac4e-0d0c-4b9e-86ba-0182ef76b33b"
"2599","","黃虹銘","","MALE","民協","ccb3a121-8906-47f8-beea-743400f6d76a","73ebb451-351d-4c30-8e46-88b6aa43ca13"
"2600","","鍾健峰","","MALE","民建聯","b59d6f02-2e2a-4626-9bfc-73edc1615576","8e42a62e-b16b-419e-8c33-c22bbfe20e32"
"2601","","李家偉","","MALE","富新一代","6626df96-0cc0-4d9c-90d5-3068d18529bc","d5e9c39a-e815-4b28-b832-bc2d544de4b2"
"2602","","盧俊宇","","MALE","民主黨","dac68b5a-44ad-46d9-ac5e-82b417a3e70f","28d1ca83-abbd-4fec-bb0d-0a645823226b"
"2603","","曾錦榮","","MALE","龍門關注組","dc2c3174-9fc0-4674-94b2-19f590847eab","5c51629b-b26d-422f-87c4-c9a0cff275c3"
"2604","","王德源","","MALE","屯門社區網絡","d3c17d2c-f71d-4e9d-99f3-3d03a9f84af5","5a83f7af-92ad-4576-bc80-44c62b77f811"
"2605","","鄧文傑","","MALE","熱血公民","4863af06-f759-4861-8acd-0994cd51a590","a716f04b-b36b-4d2a-90da-5810b8e6161c"
"2606","","梁灝文","","MALE","獨立民主派、民主派區選聯盟","7b389c99-55b0-46e7-b71c-f921ffd8f229","4468b4eb-82f2-49e8-8d10-fae58125f6c7"
"2607","","梁逸朗","","MALE","熱血公民","3d906dcb-481d-475f-9351-5ea4bb705c01","a88f161a-7ada-4afa-a49c-cbeddbced745"
"2608","","張贊華","","MALE","獨立民主派","008a8ffa-433e-473c-aebf-9e6f30bdb4b0","0f8f79ee-1e6a-4106-b06f-7b2eb78444b0"
"2609","","羅佩麗","","FEMALE","民主動力、朱凱廸新西團隊","6c0ad8b8-4728-473e-8334-5aab8ffa2d2f","0bbc2e6b-a786-4074-a638-db99c48646cc"
"2610","","盧偉明","","MALE","民主黨","197d73b0-7783-438a-bc82-b4cedae5a070","fb4bb1da-04d5-4fde-8e85-29c502578666"
"2611","","賴嘉汶","","FEMALE","民建聯","452e0197-07e4-478f-bb5d-8c018aca7565","c01ce6c2-7928-455d-a287-548d63fe3a3d"
"2612","","何國豪","","MALE","匯政衞言","c8293ad8-f79d-4f1d-8fe1-14efb01646f5","a4f18233-9cba-4129-885a-92c4e269c329"
"2613","","陳敬倫","","MALE"," ","ce57b7a5-fba2-4dc5-8f95-04a340b7dc1d","e2111679-34b1-4c06-b097-8ae01f712137"
"2614","","石景澄","","MALE","民主陣線","7659b8e3-0aca-4df4-8521-86ce9e7e9bfe","54857686-5fd4-4242-b800-8de6553e653b"
"2615","","張秀賢","","MALE"," ","956d395e-0ffd-4457-9a9a-c45f0f26d74b","e31bcde3-5915-4e77-9100-be365195cb9f"
"2616","","黎國泳","","MALE","朱凱廸新西團隊、民主動力","42d5e992-9b55-49e8-98b4-5795fbaf373f","adabace6-f2a0-4fc6-bd61-5517a6ada598"
"2617","","林偉明","","MALE","民建聯","9f2b344f-8b4c-4fa3-9bac-e215f15be554","fcca813d-b626-48ed-be05-4af3b1859c17"
"2618","","譚煒霖","","MALE","民建聯","9e3656c1-f825-4f11-ad00-6203a041bd88","3ce0f7a4-99d5-4288-9548-2c5109779714"
"2619","","李俊威","","MALE"," ","53a07383-6a11-442a-b18c-5554779d0cca","d6f98a65-ac5b-4de6-8dae-20b34a79a207"
"2620","","鄧龍威","","MALE"," ","6f94005a-8dba-470c-8d88-b9b1fdb603a4","29ca4386-26d3-4f75-8ffb-1a8c8f2613bc"
"2621","","梁德明","","MALE","朱凱廸新西團隊、民主動力","48ab8380-2f84-4581-86f9-d9b4ff8d95f6","80ff324b-348d-45e9-951a-cb4755c46373"
"2622","","陳樹暉","","MALE","民主動力、朱凱廸新西團隊","d8b8f369-3a80-4a73-95c2-08b4bc81db43","78cbd4da-d562-42a5-99d8-7c904ec059aa"
"2623","","林慧明","","FEMALE"," ","7d6c622d-92d3-4d0b-b6bc-15b84c0d3789","6318ea61-0821-4a39-9540-3582565585ec"
"2624","","區國權","","MALE","朱凱廸新西團隊、民主動力","fffee5f6-4e78-4cdb-8c2f-9cb24d4e98a7","1ef6ea87-073b-4b25-9831-6f7bc8f923a2"
"2625","","侯文健","","MALE","天水連線","b8b46f55-3b23-47d7-b2ba-74c5cf70bcdd","a3f96d88-5421-4d9e-a652-627d17ef082f"
"2626","","何惠彬","","MALE","街坊工友服務處","011ba358-d3dd-4a98-b2f1-4caa4041f6be","b2cd4d33-9cc5-411f-ac99-e9f0c7ea572d"
"2627","","伍軒宏","","MALE","民主黨","ca4f8359-4566-4f6f-b6ae-eb2e14d71c1e","d5e347b0-30ac-4e21-b0e3-02cdacacc187"
"2628","","蘇淵","","MALE","民建聯","89ef2582-f734-4104-a7b2-7ed2539689e4","0cb57b65-4003-4aa5-b17a-966ae79b7342"
"2629","","黎寳華","","FEMALE","民主黨","a86585f4-c55e-4287-b311-658b5fba8e58","accc9ecb-be71-441e-b516-2596b4ff33fa"
"2630","","湯德駿","","MALE","民建聯","0b9a7429-753a-488f-97cc-860089312dd6","9022d149-cd7b-453a-b22e-03360a41d1b6"
"2631","","林進","","MALE","天水連線","a508f842-4398-40d7-8245-5f32ea6a70f1","1f147a8e-481e-4de7-bfd6-02504379923b"
"2632","","黃子毅","","MALE","無黨派","030d29ac-1052-4f13-969a-83e02a0f02bc","8ad0914a-73d9-4a66-81d6-54b5304cf348"
