"id","name_en","name_zh","estimated_yob","gender","related_organization","uuid","fc_uuid"
"2454","","莫淦森","","MALE","民主建港協進聯盟","fda47751-d2bc-4b9c-9a26-21025c94c83c","c582996c-bb3d-4424-a457-535e2a1e1d57"
"2455","","馮家亮","","MALE","自由黨","aa2bb92e-010f-4f5d-8371-1c5975aad05d","1ba4eb30-2edd-4f0a-ab83-08daa810b372"
"2456","","歐頌賢","","FEMALE"," ","765e09f7-47d5-40af-b791-ef506fc5d6bd","d7a5c07a-0e4c-4a03-9f67-45e08c708411"
"2457","","郭慧文","","FEMALE","民建聯","f9d01e75-a858-494f-8016-9dadc18c2cb4","76e5d383-47e7-433e-bd36-462f6be8f301"
"2458","","任嘉兒","","FEMALE"," ","97bc1310-2f85-4e2a-b849-259b9d194d25","70b20fb2-d570-4c07-8f8d-67a1143d0631"
"2459","","陳㨗貴","","MALE","獨立候選人","4cdc40ec-4f36-493b-b5c6-af289362d4ca",""
"2460","","梁晃維","","MALE","獨立","6d650159-8f0b-4a1d-aa67-e666b3c21aca","4fe14aee-cfb7-459f-8eaf-b2c3dbf0296a"
"2461","","黃健菁","","FEMALE","民主動力","f16f034b-c935-4a69-865c-63c714817607","41118f1e-23c5-42d8-9c73-fddd03d2fd1b"
"2462","","彭家浩","","MALE","民主派","2ae608e1-3cff-41e4-9f69-2c055ab07cdf","909b71ee-8d23-4355-9e0d-dc71f1a9d814"
"2463","","劉天正","","MALE","民主建港協進聯盟","f688e3ee-2e96-4e50-9a17-66b75db48dd7","f7b7e835-0814-4846-81e1-cd1afe337066"
"2464","","黃永志","","MALE"," ","09a90e73-edd0-4e6d-8bd7-15a48815f74c","816dd431-9ef5-4769-9699-89a28fe8e661"
"2465","","張嘉恩","","FEMALE","民主建港協進聯盟","3dafd301-f7bf-4d47-8284-1c4ff1104d45","6bce245f-1631-48a2-94b7-454bace12a48"
"2466","","何致宏","","MALE","民主派","2173d493-78c5-480b-bc9b-eac734b4a628","87bcebe6-8d2c-4335-8c41-b471b1d980d5"
"2467","","穆家駿","","MALE","民建聯","4872c3ee-b3e7-43ac-ac63-02da0450ce25","2999aa3e-4d8b-409f-809d-b9b0d78a7d18"
"2468","","李永財","","MALE","民主動力、維協","846f43bf-5c4b-492a-b7ec-b0d2a8e7aad1","d83443cf-e534-4d33-9a96-c37aed65c4b7"
