id,name_zh,name_en,election_type,person_id,matched,year,cacode,constituency_id,age,political_affiliation,camp,candidate_number,occupation,nominated_at,nominate_status,votes,vote_percentage,is_won
50,曹漢光,TSO HON KWONG,ordinary,2162,1,1999,C02,28,52,民主黨,民主,,全職區議員,,,1988,73.1,TRUE
51,陳航,,ordinary,2275,1,1999,C02,28,37,民建聯,建制,,行政經理,,,711,26.1,FALSE
52,傅元章,FU YUEN CHEUNG ALEXANDER,ordinary,820,1,1999,C03,29,50,,其他,,人壽保險／僱員 福利顧問,,,1356,60,TRUE
53,蔣業暉,,ordinary,2164,1,1999,C03,29,55,,其他,,電業承辦商,,,878,38.9,FALSE
54,勞鍱珍,LO TIP CHUN,ordinary,2112,1,1999,C04,30,51,民建聯,建制,,全職議員,,,,,TRUE
55,杜本文,TO BOON MAN DANIEL,ordinary,2113,1,1999,C05,31,50,,其他,,設計師／行政經理,,,1703,57.1,TRUE
56,陳達文,,ordinary,821,1,1999,C05,31,43,,其他,,董事經理,,,360,12,FALSE
57,張葵歡,,ordinary,2291,1,1999,C05,31,42,民建聯,建制,,幼稚園教師,,,901,30.2,FALSE
58,謝智勇,,ordinary,2232,1,1999,C06,32,40,民建聯,建制,,業務副經理,,,1433,40.4,FALSE
59,陳添勝,CHAN TIM SHING MANUEL,ordinary,2114,1,1999,C06,32,40,民權黨,民主,,公司董事,,,2072,58.5,TRUE
60,鄧禮明,TANG LAI MING,ordinary,1030,1,1999,C07,33,41,民建聯,建制,,公司董事／輔導工作者,,,2054,60.3,TRUE
61,古桂耀,KU KWAI YIU,ordinary,2233,1,1999,C07,33,37,民主黨,民主,,技術員,,,1330,39,FALSE
62,關光,,ordinary,2276,1,1999,C08,34,40,民建聯,建制,,行政經理,,,968,39.1,FALSE
63,梁雪冰,,ordinary,2165,1,1999,C08,34,40,民主黨,民主,,藝術工作者,,,1481,59.8,TRUE
64,陳靄群,CHAN OI KWAN,ordinary,749,1,1999,C09,35,49,民建聯,建制,,社團行政人員,,,1824,66.4,TRUE
65,李惠照,LEE WAI CHIU WIGGO,ordinary,2115,1,1999,C09,35,46,民主黨,民主,,物業管理行政人員,,,910,33.1,FALSE
66,林偉光,,ordinary,2166,1,1999,C10,36,56,民建聯,建制,,議員助理,,,1507,46.4,FALSE
67,陳耀德,CHAN YIU TAK,ordinary,2277,1,1999,C10,36,49,民主黨,民主,,教師,,,1727,53.1,TRUE
68,楊健德,,ordinary,750,1,1999,C11,37,37,民主黨,民主,,印刷業報價員,,,864,23.5,FALSE
69,龔栢祥,KUNG PAK CHEUNG,ordinary,751,1,1999,C11,37,49,民建聯,建制,,旅行社總監,,,2782,75.8,TRUE
70,黎志強,LAI CHI KEONG JOSEPH,ordinary,2361,1,1999,C12,38,51,民主黨,民主,,全職議員,,,1636,52.7,TRUE
71,馬德成,MA TAK SING,ordinary,1242,1,1999,C12,38,40,民建聯,建制,,地產公司經理,,,1446,46.6,FALSE
72,甄永樂,"YAN Wing-lok, Alexander",ordinary,2362,1,1999,C13,39,36,民主黨,民主,,環境顧問,,,488,22.3,FALSE
73,黃建彬,WONG KIN PAN,ordinary,2167,1,1999,C13,39,45,民建聯,建制,,公司執行董事,,,1065,48.7,TRUE
74,阮其江,,ordinary,2234,1,1999,C13,39,64,港進聯,建制,,全職區議員,,,622,28.4,FALSE
75,陳炳煥,CHAN BING WOON,ordinary,2292,1,1999,C14,40,54,,其他,,律師／公證人,,,,,TRUE
76,劉玉芳,,ordinary,1243,1,1999,C15,41,34,,其他,,商人,,,819,30.9,FALSE
77,葉就生,IP CHIU SHING,ordinary,2168,2,1999,C15,41,58,,其他,,文員,,,1807,68.3,TRUE
78,羅榮焜,LO WING KWAN FRANKIE,ordinary,2191,1,1999,C16,42,51,,其他,,報幕員／培訓導師,,,897,44.9,TRUE
79,黃桂林,,ordinary,2297,1,1999,C16,42,42,,其他,,專業培訓導師,,,745,37.3,FALSE
80,成偉邦,,ordinary,2278,1,1999,C16,42,48,中自民,民主,,公司董事長,,,337,16.8,FALSE
81,關國傑,KWAN KWOK KIT,ordinary,752,1,1999,C17,43,40,,建制,,業務經理,,,604,30.1,FALSE
82,周潔冰,CHOW KIT BING JENNIFER,ordinary,2235,1,1999,C17,43,44,,建制,,全職議員,,,1383,69,TRUE
83,蕭健恒,,ordinary,2257,1,1999,C18,44,26,民主黨,民主,,業務拓展經理,,,896,37.9,FALSE
