id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
2360,,馮國輝,1953,,MALE,,7b35a9f9-be58-47a3-a5ec-9cc36225a50b,,,
876,FUNG KWOK HUNG,馮國雄,1963,,MALE,,0267cb97-76b0-48e0-87e2-35371482f0b2,,,
2455,FUNG Kar-leung Karl,馮家亮,1970,,MALE,自由黨,aa2bb92e-010f-4f5d-8371-1c5975aad05d,1ba4eb30-2edd-4f0a-ab83-08daa810b372,,
518,FUNG KA KUI,馮家駒,1954,,MALE,,b4951540-9d7e-4c3b-b5d1-42bd18d052e8,,,
2564,FUNG Ka-lung,馮家龍,,,MALE, ,af811299-a257-4a7c-8264-01456b3aa694,555b438a-87e9-402c-a141-206c28849635,,
2722,FUNG Siu-yin,馮小燕,1986,,FEMALE, ,ac29f6ab-33d5-4bce-a811-639edb86603a,54927873-371f-4311-a303-373a880968f9,,
1114,FUNG Choi-yuk,馮彩玉,1949,,FEMALE,,20f92b39-0412-4555-bcd2-c63a11c237c3,,,
2896,FUNG Tak-sum,馮德森,,,MALE, ,2150f144-b02d-4ab4-8296-6e5ea7a63cc8,194310da-175b-4586-9532-d08e68a8ddbf,,
2954,FUNG King-yin,馮敬彥,,,MALE, ,43c52eb1-558a-4c46-a4c5-1150629b0017,afa1e289-244c-4905-8533-aa3a79ac4381,,
1739,FUNG JOSHUA MAN TAO,馮文韜,1993,,MALE,,66a5a950-1860-4dab-bbcf-e7ae06b8fcd2,da662868-5183-406b-9699-7a229b4acf34,,
1161,FUNG SZE YU,馮時裕,1977,,MALE,,98f340c5-2c53-45ae-8c30-798bff8bb313,,,
2206,FUNG LEUNG KWAI PING,馮梁貴平,1951,,FEMALE,,7979acaa-f551-4d55-ac98-6f4e3b60a483,,,
1368,FUNG KIN KEE FREDERICK,馮檢基,1953,,MALE,,789d8b70-caa1-4060-aee1-22ab65469419,94487657-344d-4875-b425-50cad9101ab7,,
957,FUNG YU CHUK FANCY,馮汝竹,1961,,FEMALE,,6a8a798f-24e5-445e-b897-8b8cab52670f,,,
1594,FUNG PUI YIN,馮沛賢,1985,,MALE,,7373352a-c19b-432a-9ad6-f43731f8c2c7,953a9148-91d8-491b-b95e-4bb6158affb9,,
2900,FUNG Wang-yui,馮泓叡,,,MALE,公屋聯會,1a7dd549-5b4a-4dd8-ac1f-be7a00e52ca6,fda4f740-0e57-44ee-ad3d-f92bbdc4c8f8,,
833,FUNG WAI KWONG,馮煒光,1961,,MALE,,38874aff-c508-4210-98f6-c6aba8a6f573,,,
1320,,馮煥然,1946,,MALE,,6abf239a-1299-422a-abfd-1b1d0eb30b9b,,,
853,FUNG SUI MEI ANNA,馮瑞媚,1964,,FEMALE,,8cb7f0c4-cd91-49af-90e7-49eb963edec3,,,
2199,FUNG KING MAN VIRGINIA,馮競文,1947,,FEMALE,,2475397d-c898-4a75-81fa-55086e53fc13,,,
553,FUNG Siu-ping,馮笑萍,1960,,FEMALE,,c77b28f7-dd15-4901-92f8-43ded0214e46,,,
1206,FUNG MEI WAN,馮美雲,1953,,FEMALE,,2b7f4f06-4b35-4c2a-9274-2fa41592562f,,,
1155,FUNG SIU LUNG,馮肇龍,1962,,MALE,,ae84724b-ca84-43e9-959b-48c35285de79,,,
2527,FUNG Tat-chun Frankie,馮達浚,,,MALE, ,2c027013-2ca2-47dc-b323-31cc5c95891d,7d8bd729-50ab-4d9b-b4af-4417fabe2cc6,,
2214,FUNG KAM YUEN,馮錦源,1954,,MALE,,5eec70f5-2860-4dd0-bbe7-9c757bf7108f,,,
1396,,馮鴻耀,1952,,MALE,,6638785d-ae4a-4e86-aebe-40fbbf656720,,,
648,,馮麗娟,1952,,FEMALE,,8f1ffd95-8985-49ed-8f3b-d660a704068a,,,
