id,cacode,data_year,election_year,name_en,name_zh,constituency_id,voters,new_voters
11,A11,2019,2019,Sai Ying Pun,西營盤,2049,"{""M"": {""18-20"": 54, ""21-25"": 167, ""26-30"": 258, ""31-35"": 279, ""36-40"": 269, ""41-45"": 306, ""46-50"": 250, ""51-55"": 272, ""56-60"": 296, ""61-65"": 351, ""66-70"": 369, ""71+"": 651}, ""F"": {""18-20"": 63, ""21-25"": 201, ""26-30"": 229, ""31-35"": 268, ""36-40"": 283, ""41-45"": 290, ""46-50"": 296, ""51-55"": 310, ""56-60"": 369, ""61-65"": 412, ""66-70"": 374, ""71+"": 686}}","{""M"": {""18-20"": 33, ""21-25"": 35, ""26-30"": 46, ""31-35"": 43, ""36-40"": 33, ""41-45"": 22, ""46-50"": 24, ""51-55"": 19, ""56-60"": 15, ""61-65"": 13, ""66-70"": 14, ""71+"": 12}, ""F"": {""18-20"": 38, ""21-25"": 47, ""26-30"": 42, ""31-35"": 49, ""36-40"": 54, ""41-45"": 29, ""46-50"": 31, ""51-55"": 23, ""56-60"": 30, ""61-65"": 20, ""66-70"": 20, ""71+"": 19}}"
12,A12,2019,2019,Sheung Wan,上環,2050,"{""M"": {""18-20"": 71, ""21-25"": 171, ""26-30"": 223, ""31-35"": 292, ""36-40"": 254, ""41-45"": 259, ""46-50"": 275, ""51-55"": 264, ""56-60"": 330, ""61-65"": 349, ""66-70"": 294, ""71+"": 534}, ""F"": {""18-20"": 62, ""21-25"": 179, ""26-30"": 263, ""31-35"": 283, ""36-40"": 327, ""41-45"": 323, ""46-50"": 327, ""51-55"": 327, ""56-60"": 385, ""61-65"": 369, ""66-70"": 323, ""71+"": 548}}","{""M"": {""18-20"": 36, ""21-25"": 33, ""26-30"": 32, ""31-35"": 57, ""36-40"": 35, ""41-45"": 30, ""46-50"": 25, ""51-55"": 25, ""56-60"": 13, ""61-65"": 11, ""66-70"": 7, ""71+"": 17}, ""F"": {""18-20"": 37, ""21-25"": 43, ""26-30"": 45, ""31-35"": 51, ""36-40"": 61, ""41-45"": 25, ""46-50"": 39, ""51-55"": 20, ""56-60"": 18, ""61-65"": 17, ""66-70"": 23, ""71+"": 37}}"
13,A13,2019,2019,Tung Wah,東華,2051,"{""M"": {""18-20"": 58, ""21-25"": 159, ""26-30"": 155, ""31-35"": 213, ""36-40"": 241, ""41-45"": 288, ""46-50"": 254, ""51-55"": 270, ""56-60"": 309, ""61-65"": 263, ""66-70"": 215, ""71+"": 398}, ""F"": {""18-20"": 42, ""21-25"": 111, ""26-30"": 180, ""31-35"": 204, ""36-40"": 248, ""41-45"": 325, ""46-50"": 300, ""51-55"": 266, ""56-60"": 319, ""61-65"": 281, ""66-70"": 217, ""71+"": 413}}","{""M"": {""18-20"": 33, ""21-25"": 30, ""26-30"": 24, ""31-35"": 50, ""36-40"": 42, ""41-45"": 39, ""46-50"": 35, ""51-55"": 14, ""56-60"": 12, ""61-65"": 14, ""66-70"": 7, ""71+"": 6}, ""F"": {""18-20"": 26, ""21-25"": 20, ""26-30"": 19, ""31-35"": 58, ""36-40"": 55, ""41-45"": 42, ""46-50"": 33, ""51-55"": 19, ""56-60"": 15, ""61-65"": 12, ""66-70"": 12, ""71+"": 16}}"
14,A14,2019,2019,Centre Street,正街,2052,"{""M"": {""18-20"": 73, ""21-25"": 170, ""26-30"": 226, ""31-35"": 254, ""36-40"": 279, ""41-45"": 268, ""46-50"": 263, ""51-55"": 281, ""56-60"": 367, ""61-65"": 391, ""66-70"": 275, ""71+"": 473}, ""F"": {""18-20"": 71, ""21-25"": 165, ""26-30"": 222, ""31-35"": 274, ""36-40"": 302, ""41-45"": 303, ""46-50"": 308, ""51-55"": 324, ""56-60"": 466, ""61-65"": 397, ""66-70"": 294, ""71+"": 534}}","{""M"": {""18-20"": 35, ""21-25"": 32, ""26-30"": 33, ""31-35"": 55, ""36-40"": 42, ""41-45"": 42, ""46-50"": 26, ""51-55"": 22, ""56-60"": 21, ""61-65"": 28, ""66-70"": 11, ""71+"": 15}, ""F"": {""18-20"": 42, ""21-25"": 37, ""26-30"": 37, ""31-35"": 53, ""36-40"": 56, ""41-45"": 35, ""46-50"": 28, ""51-55"": 19, ""56-60"": 30, ""61-65"": 28, ""66-70"": 20, ""71+"": 23}}"
15,A15,2019,2019,Water Street,水街,2053,"{""M"": {""18-20"": 83, ""21-25"": 203, ""26-30"": 258, ""31-35"": 237, ""36-40"": 297, ""41-45"": 327, ""46-50"": 282, ""51-55"": 287, ""56-60"": 380, ""61-65"": 384, ""66-70"": 317, ""71+"": 505}, ""F"": {""18-20"": 87, ""21-25"": 181, ""26-30"": 232, ""31-35"": 273, ""36-40"": 314, ""41-45"": 329, ""46-50"": 316, ""51-55"": 388, ""56-60"": 420, ""61-65"": 379, ""66-70"": 358, ""71+"": 571}}","{""M"": {""18-20"": 43, ""21-25"": 37, ""26-30"": 39, ""31-35"": 28, ""36-40"": 37, ""41-45"": 34, ""46-50"": 25, ""51-55"": 20, ""56-60"": 14, ""61-65"": 12, ""66-70"": 10, ""71+"": 7}, ""F"": {""18-20"": 43, ""21-25"": 35, ""26-30"": 39, ""31-35"": 39, ""36-40"": 46, ""41-45"": 36, ""46-50"": 20, ""51-55"": 29, ""56-60"": 18, ""61-65"": 15, ""66-70"": 7, ""71+"": 11}}"
16,B01,2019,2019,Hennessy,軒尼詩,2054,"{""M"": {""18-20"": 39, ""21-25"": 121, ""26-30"": 139, ""31-35"": 178, ""36-40"": 202, ""41-45"": 190, ""46-50"": 193, ""51-55"": 218, ""56-60"": 249, ""61-65"": 234, ""66-70"": 223, ""71+"": 442}, ""F"": {""18-20"": 37, ""21-25"": 98, ""26-30"": 159, ""31-35"": 164, ""36-40"": 198, ""41-45"": 223, ""46-50"": 236, ""51-55"": 215, ""56-60"": 269, ""61-65"": 240, ""66-70"": 223, ""71+"": 533}}","{""M"": {""18-20"": 25, ""21-25"": 33, ""26-30"": 21, ""31-35"": 31, ""36-40"": 38, ""41-45"": 29, ""46-50"": 21, ""51-55"": 18, ""56-60"": 20, ""61-65"": 4, ""66-70"": 10, ""71+"": 2}, ""F"": {""18-20"": 18, ""21-25"": 26, ""26-30"": 40, ""31-35"": 37, ""36-40"": 31, ""41-45"": 30, ""46-50"": 27, ""51-55"": 23, ""56-60"": 21, ""61-65"": 9, ""66-70"": 6, ""71+"": 11}}"
17,B02,2019,2019,Oi Kwan,愛群,2055,"{""M"": {""18-20"": 45, ""21-25"": 135, ""26-30"": 160, ""31-35"": 210, ""36-40"": 216, ""41-45"": 255, ""46-50"": 275, ""51-55"": 248, ""56-60"": 261, ""61-65"": 266, ""66-70"": 269, ""71+"": 630}, ""F"": {""18-20"": 41, ""21-25"": 124, ""26-30"": 178, ""31-35"": 195, ""36-40"": 246, ""41-45"": 274, ""46-50"": 297, ""51-55"": 237, ""56-60"": 300, ""61-65"": 318, ""66-70"": 325, ""71+"": 676}}","{""M"": {""18-20"": 25, ""21-25"": 28, ""26-30"": 27, ""31-35"": 36, ""36-40"": 28, ""41-45"": 35, ""46-50"": 31, ""51-55"": 22, ""56-60"": 21, ""61-65"": 11, ""66-70"": 10, ""71+"": 9}, ""F"": {""18-20"": 23, ""21-25"": 28, ""26-30"": 34, ""31-35"": 40, ""36-40"": 39, ""41-45"": 48, ""46-50"": 37, ""51-55"": 23, ""56-60"": 27, ""61-65"": 19, ""66-70"": 17, ""71+"": 25}}"
18,B03,2019,2019,Canal Road,鵝頸,2056,"{""M"": {""18-20"": 46, ""21-25"": 114, ""26-30"": 142, ""31-35"": 152, ""36-40"": 183, ""41-45"": 217, ""46-50"": 213, ""51-55"": 188, ""56-60"": 215, ""61-65"": 185, ""66-70"": 206, ""71+"": 509}, ""F"": {""18-20"": 35, ""21-25"": 106, ""26-30"": 156, ""31-35"": 138, ""36-40"": 212, ""41-45"": 222, ""46-50"": 214, ""51-55"": 249, ""56-60"": 235, ""61-65"": 247, ""66-70"": 258, ""71+"": 569}}","{""M"": {""18-20"": 24, ""21-25"": 29, ""26-30"": 30, ""31-35"": 35, ""36-40"": 33, ""41-45"": 28, ""46-50"": 30, ""51-55"": 15, ""56-60"": 15, ""61-65"": 9, ""66-70"": 7, ""71+"": 9}, ""F"": {""18-20"": 16, ""21-25"": 27, ""26-30"": 34, ""31-35"": 37, ""36-40"": 49, ""41-45"": 37, ""46-50"": 26, ""51-55"": 29, ""56-60"": 13, ""61-65"": 10, ""66-70"": 6, ""71+"": 5}}"
19,B04,2019,2019,Causeway Bay,銅鑼灣,2057,"{""M"": {""18-20"": 50, ""21-25"": 92, ""26-30"": 124, ""31-35"": 153, ""36-40"": 217, ""41-45"": 249, ""46-50"": 228, ""51-55"": 237, ""56-60"": 234, ""61-65"": 236, ""66-70"": 244, ""71+"": 637}, ""F"": {""18-20"": 66, ""21-25"": 115, ""26-30"": 131, ""31-35"": 180, ""36-40"": 210, ""41-45"": 260, ""46-50"": 263, ""51-55"": 288, ""56-60"": 272, ""61-65"": 255, ""66-70"": 315, ""71+"": 749}}","{""M"": {""18-20"": 27, ""21-25"": 26, ""26-30"": 18, ""31-35"": 46, ""36-40"": 32, ""41-45"": 22, ""46-50"": 15, ""51-55"": 18, ""56-60"": 16, ""61-65"": 14, ""66-70"": 6, ""71+"": 8}, ""F"": {""18-20"": 40, ""21-25"": 35, ""26-30"": 28, ""31-35"": 48, ""36-40"": 41, ""41-45"": 38, ""46-50"": 27, ""51-55"": 25, ""56-60"": 11, ""61-65"": 10, ""66-70"": 14, ""71+"": 25}}"
20,B05,2019,2019,Victoria Park,維園,2058,"{""M"": {""18-20"": 58, ""21-25"": 129, ""26-30"": 170, ""31-35"": 213, ""36-40"": 271, ""41-45"": 297, ""46-50"": 271, ""51-55"": 271, ""56-60"": 279, ""61-65"": 281, ""66-70"": 293, ""71+"": 629}, ""F"": {""18-20"": 58, ""21-25"": 143, ""26-30"": 191, ""31-35"": 223, ""36-40"": 278, ""41-45"": 362, ""46-50"": 335, ""51-55"": 301, ""56-60"": 330, ""61-65"": 318, ""66-70"": 367, ""71+"": 716}}","{""M"": {""18-20"": 43, ""21-25"": 19, ""26-30"": 19, ""31-35"": 46, ""36-40"": 44, ""41-45"": 40, ""46-50"": 34, ""51-55"": 27, ""56-60"": 14, ""61-65"": 16, ""66-70"": 15, ""71+"": 20}, ""F"": {""18-20"": 38, ""21-25"": 30, ""26-30"": 28, ""31-35"": 49, ""36-40"": 54, ""41-45"": 62, ""46-50"": 39, ""51-55"": 27, ""56-60"": 20, ""61-65"": 24, ""66-70"": 24, ""71+"": 19}}"
